city,year,no_stations
Darbhanga,2022,1.0
Darbhanga,2023,1.0
Dausa,2023,1.0
Dausa,2024,1.0
Dausa,2025,1.0
Davanagere,2021,1.0
Davanagere,2022,1.0
Davanagere,2023,1.0
Davanagere,2024,1.0
Davanagere,2025,1.0
Dehradun,2022,1.0
Dehradun,2023,1.0
Dehradun,2024,1.0
Dehradun,2025,1.0
Delhi,2015,4.395744680851064
Delhi,2016,5.1807909604519775
Delhi,2017,9.59228650137741
Delhi,2018,24.767123287671232
Delhi,2019,32.75068493150685
Delhi,2020,33.068306010928964
Delhi,2021,32.75342465753425
Delhi,2022,33.8027397260274
Delhi,2023,34.97808219178082
Delhi,2024,36.08469945355191
Delhi,2025,35.93399339933993
Dewas,2017,1.0
Dewas,2018,1.0
Dewas,2019,1.0
Dewas,2020,1.0
Dewas,2021,1.0
Dewas,2022,1.0
Dewas,2023,1.0
Dewas,2024,1.0
Dewas,2025,1.0
Dhanbad,2023,1.0327102803738317
Dhanbad,2024,1.323008849557522
Dhanbad,2025,1.0
Dharuhera,2019,1.0
Dharuhera,2020,1.0
Dharuhera,2021,1.0
Dharuhera,2022,1.0
Dharuhera,2023,1.0
Dharuhera,2024,1.0
Dharuhera,2025,1.0
Dharwad,2022,1.0
Dharwad,2023,1.0
Dharwad,2024,1.0
Dharwad,2025,1.0
Dholpur,2023,1.0
Dholpur,2024,1.0
Dholpur,2025,1.0
Dhule,2023,1.0
Dhule,2024,1.0
Dhule,2025,1.0
Dindigul,2022,1.0
Dindigul,2023,1.0
Dindigul,2024,1.0
Dindigul,2025,1.0
Dungarpur,2024,1.0
Dungarpur,2025,1.0
Durgapur,2016,1.0
Durgapur,2017,1.0
Durgapur,2018,1.0
Durgapur,2019,1.0
Durgapur,2020,1.0
Durgapur,2021,1.0
Durgapur,2022,1.0
Durgapur,2023,1.0
Durgapur,2024,1.9183098591549297
Durgapur,2025,2.5346534653465347
Eloor,2019,1.0
Eloor,2020,1.0
Eloor,2021,1.0
Eloor,2022,1.0
Eloor,2023,1.0
Eloor,2024,1.0
Eloor,2025,1.0
Ernakulam,2020,1.0
Ernakulam,2021,1.0
Ernakulam,2022,1.0
Faridabad,2015,0.9469026548672567
Faridabad,2016,1.0
Faridabad,2017,1.0
Faridabad,2018,1.0
Faridabad,2019,1.0
Faridabad,2020,2.4540389972144845
Faridabad,2021,3.15702479338843
Faridabad,2022,3.087912087912088
Faridabad,2023,3.409340659340659
Faridabad,2024,3.1205479452054794
Faridabad,2025,2.552
Fatehabad,2019,1.0
Fatehabad,2020,1.0
Fatehabad,2021,1.0
Fatehabad,2022,1.0
Fatehabad,2023,1.0
Fatehabad,2024,1.0
Fatehabad,2025,1.0
Firozabad,2021,1.0
Firozabad,2022,1.5971014492753624
Firozabad,2023,1.8422535211267606
Firozabad,2024,1.7647058823529411
Firozabad,2025,1.7364864864864864
Gadag,2021,1.0
Gadag,2022,1.0
Gadag,2023,1.0
Gadag,2024,1.0
Gadag,2025,1.0
Gandhinagar,2019,1.0
Gandhinagar,2020,1.0
Gandhinagar,2021,2.0233236151603498
Gandhinagar,2022,1.8928571428571428
Gandhinagar,2023,2.608815426997245
Gandhinagar,2024,2.149171270718232
Gandhinagar,2025,2.665562913907285
Gangtok,2022,1.0
Gangtok,2023,1.0
Gangtok,2024,1.0
Gangtok,2025,1.0
Gaya,2015,1.0
Gaya,2016,1.0
Gaya,2017,1.0
Gaya,2018,1.0
Gaya,2019,1.0
Gaya,2020,1.3583815028901733
Gaya,2021,1.8698060941828254
Gaya,2022,2.775623268698061
Gaya,2023,2.8547945205479452
Gaya,2024,2.7430939226519335
Gaya,2025,2.5827814569536423
Ghaziabad,2017,1.0
Ghaziabad,2018,1.0
Ghaziabad,2019,2.607142857142857
Ghaziabad,2020,3.6420765027322406
Ghaziabad,2021,3.6931506849315068
Ghaziabad,2022,3.758904109589041
Ghaziabad,2023,3.8956043956043955
Ghaziabad,2024,3.879781420765027
Ghaziabad,2025,3.768976897689769
Gorakhpur,2021,1.0
Gorakhpur,2022,1.0
Gorakhpur,2023,1.0
Gorakhpur,2024,1.0
Gorakhpur,2025,1.0
Greater Noida,2018,1.0
Greater Noida,2019,1.467032967032967
Greater Noida,2020,1.8818681318681318
Greater Noida,2021,1.7747252747252746
Greater Noida,2022,1.878787878787879
Greater Noida,2023,1.9534246575342467
Greater Noida,2024,1.9043715846994536
Greater Noida,2025,1.9701986754966887
Gummidipoondi,2021,1.0
Gummidipoondi,2022,1.0
Gummidipoondi,2023,1.0
Gummidipoondi,2024,1.0
Gummidipoondi,2025,1.0
Gurugram,2015,1.0
Gurugram,2016,1.0
Gurugram,2017,1.0
Gurugram,2018,1.021472392638037
Gurugram,2019,1.4670487106017192
Gurugram,2020,3.1420765027322406
Gurugram,2021,3.3095890410958906
Gurugram,2022,3.117808219178082
Gurugram,2023,3.591780821917808
Gurugram,2024,3.0684931506849313
Gurugram,2025,1.73992673992674
Guwahati,2019,1.0
Guwahati,2020,1.0083333333333333
Guwahati,2021,1.8543956043956045
Guwahati,2022,2.1483516483516483
Guwahati,2023,3.5083333333333333
Guwahati,2024,3.319672131147541
Guwahati,2025,3.4158415841584158
Gwalior,2020,1.2680722891566265
Gwalior,2021,1.2972222222222223
Gwalior,2022,1.3009118541033435
Gwalior,2023,3.317548746518106
Gwalior,2024,3.3551912568306013
Gwalior,2025,2.8316831683168315
Hajipur,2020,1.0
Hajipur,2021,1.0
Hajipur,2022,1.0
Hajipur,2023,1.0
Hajipur,2024,1.0
Hajipur,2025,1.0
Haldia,2015,1.0
Haldia,2016,1.0
Haldia,2017,1.0
Haldia,2018,1.0
Haldia,2019,1.0
Haldia,2020,1.0
Haldia,2021,1.0
Haldia,2022,1.0
Haldia,2023,1.0
Haldia,2024,1.0
Haldia,2025,1.0
Hanumangarh,2023,1.0
Hanumangarh,2024,1.0
Hanumangarh,2025,1.0
Hapur,2018,1.0
Hapur,2019,1.0
Hapur,2020,1.0
Hapur,2021,1.0
Hapur,2022,1.0
Hapur,2023,1.0
Hapur,2024,1.0
Hapur,2025,1.0
Hassan,2021,1.0
Hassan,2022,1.0
Hassan,2023,1.0
Hassan,2024,1.0
Hassan,2025,1.0
Haveri,2022,1.0
Haveri,2023,1.0
Haveri,2024,1.0
Haveri,2025,1.0
Hisar,2019,1.0
Hisar,2020,1.0
Hisar,2021,1.0
Hisar,2022,1.0
Hisar,2023,1.0
Hisar,2024,1.0
Hisar,2025,1.0
Hosur,2022,1.0
Hosur,2023,1.0
Hosur,2025,1.0
Howrah,2016,1.0
Howrah,2017,1.0
Howrah,2018,1.648562300319489
Howrah,2019,2.2356164383561645
Howrah,2020,2.530054644808743
Howrah,2021,2.8493150684931505
Howrah,2022,2.7945205479452055
Howrah,2023,2.824657534246575
Howrah,2024,3.5327868852459017
Howrah,2025,4.768976897689769
Hubballi,2018,1.0
Hubballi,2019,1.0
Hubballi,2020,1.0
Hubballi,2021,1.0
Hubballi,2022,1.0579268292682926
Hubballi,2023,1.7960339943342776
Hubballi,2024,1.4463276836158192
Hubballi,2025,1.1473684210526316
Hyderabad,2015,1.2887931034482758
Hyderabad,2016,1.8419540229885059
Hyderabad,2017,4.734072022160665
Hyderabad,2018,5.441095890410959
Hyderabad,2019,5.347945205479452
Hyderabad,2020,5.308743169398907
Hyderabad,2021,5.1506849315068495
Hyderabad,2022,9.520547945205479
Hyderabad,2023,11.726027397260275
Hyderabad,2024,10.628415300546449
Hyderabad,2025,11.693069306930694
Imphal,2022,1.7103174603174602
Imphal,2023,1.5555555555555556
Imphal,2024,1.4013377926421404
Imphal,2025,1.0
Indore,2019,1.0
Indore,2020,1.0
Indore,2021,1.0
Indore,2022,1.0
Indore,2023,1.3053221288515406
Indore,2024,3.612021857923497
Indore,2025,4.343234323432343
Jabalpur,2019,1.0
Jabalpur,2020,1.0
Jabalpur,2021,1.0
Jabalpur,2022,1.0
Jabalpur,2023,1.8679775280898876
Jabalpur,2024,3.5397260273972604
Jabalpur,2025,3.4356435643564356
Jaipur,2015,1.0
Jaipur,2016,1.0
Jaipur,2017,1.3079710144927537
Jaipur,2018,2.8438356164383563
Jaipur,2019,2.9123287671232876
Jaipur,2020,2.871584699453552
Jaipur,2021,2.578082191780822
Jaipur,2022,2.5945205479452054
Jaipur,2023,4.802739726027397
Jaipur,2024,5.6775956284153
Jaipur,2025,5.673267326732673
Jaisalmer,2023,1.0
Jaisalmer,2024,1.0
Jaisalmer,2025,1.0
Jalandhar,2018,1.0
Jalandhar,2019,1.0
Jalandhar,2020,1.0
Jalandhar,2021,1.0
Jalandhar,2022,1.0
Jalandhar,2023,1.0
Jalandhar,2024,1.0
Jalandhar,2025,1.0
Jalgaon,2023,1.0
Jalgaon,2024,1.0
Jalgaon,2025,1.0
Jalna,2023,1.0
Jalna,2024,1.0
Jalna,2025,1.0
Jalore,2023,1.0
Jalore,2024,1.0
Jalore,2025,1.0
Jhalawar,2023,1.0
Jhalawar,2024,1.0
Jhalawar,2025,1.0
Jhansi,2022,1.0
Jhansi,2023,1.0
Jhansi,2024,1.0
Jhansi,2025,1.0
Jharsuguda,2018,1.0
