,S.No,City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated/ Total Stations,AQI,Category,Color Code,Possible Health Impacts
8,128,Kota,Satisfactory,70,"PM
10",3/3,,,,
9,129,Kunjemura,Good,45,"PM
10",1/1,,,,
10,130,Latur,Good,40,"PM
10",1/1,,,,
11,131,Lucknow,Satisfactory,74,"PM
, PM
2.5
10",6/6,,,,
12,132,Ludhiana,Satisfactory,65,"PM
10",1/1,,,,
13,133,Madikeri,Good,27,"PM
10",1/1,,,,
14,134,Madurai,Good,34,"PM
10",1/1,,,,
15,135,Mahad,Satisfactory,58,"PM
10",1/1,,,,
16,136,Malegaon,Satisfactory,67,"PM
10",1/1,,,,
17,137,Mandideep,Satisfactory,70,"PM
10",1/1,,,,
18,138,Manguraha,Good,31,CO,1/1,,,,
19,139,Meerut,Good,43,"O
, PM
3
10",2/3,,,,
20,140,Milupara,Satisfactory,71,"O
3",1/1,,,,
1,141,Mira-Bhayandar,Good,47,"PM
10",1/1,,,,
2,142,Moradabad,Satisfactory,53,"PM
, PM
, CO
2.5
10",5/7,,,,
